Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
MANGO,0.77,0.23,0.53,1.46,0,6.4,NA,NA,NA,NA,6.4,NA,0,4.667,2.333,0.81,2.952,3.952,0.5,1.9,1.75,3.8,0.95,4.667,3.8,4.667,5.871,4.083,6.467,NA,NA,NA,1.89923593,NA,NA,-0.239223462,-0.09423492,-0.179620915,5.002613612,0.601416528,-0.700084491
MANNER,0.73,0.32,0.42,1.1,-0.07,3.1,NA,NA,2.11111,2.765,3.1,3.42,2.944,0.167,0.667,1.167,0.222,3.389,0.85,1.35,2.85,1.55,1.1,3.389,2.85,3.389,4.048,3.151,4.605,NA,NA,-2.805324131,-1.40076407,-2.093816641,-1.377303941,0.587239826,-0.375517104,-0.247926424,-0.527375521,0.401664224,1.248011694
MANOR,0.77,0.4,0.37,0.98,-0.24,5,NA,NA,4.77778,NA,5,5.08,0.25,0,0.688,0.25,0.188,3.562,1.333,0.722,2.111,0.278,0.5,3.562,2.111,3.562,3.572,2.308,3.868,NA,NA,-0.138654131,0.49923593,NA,0.282696059,-0.18763008,-0.402314301,-0.543890265,-0.854293033,0.36535447,-0.867877409
MANSION,0.8,0.2,0.6,1.68,0,6.6,NA,6.12,NA,6.419,6.6,6.28,1.038,0.231,1.385,0.615,0.615,4.192,1.286,1.143,2.619,0.952,0.857,4.192,2.619,4.192,4.271,2.847,4.657,NA,2.111193786,NA,2.09923593,1.560183359,1.482696059,0.253025075,0.197226551,-0.086419617,-0.258424756,0.951644325,-0.095428111
MANTEL,0.82,0.37,0.45,1.24,-0.28,6.2,NA,3.45,6.03571,NA,6.2,NA,0.933,0.333,1.667,0.733,0.533,3.733,0.353,1.706,2.059,0.176,0.412,3.733,2.059,3.733,3.872,2.399,4.158,NA,-0.558806214,1.119275869,1.69923593,NA,NA,-0.847829107,-0.378065108,-0.482611446,-0.200499786,0.885123227,-0.708275887
MANTLE,0.87,0.45,0.42,1.24,-0.49,5.7,NA,NA,NA,NA,5.7,5.96,0.5,0.188,3,0.312,0.312,4.125,0.2,1.05,1.65,0,0.15,4.125,1.65,4.125,4.601,1.782,4.688,NA,NA,NA,1.19923593,NA,1.162696059,-0.163286157,-0.093320553,-0.700054111,-0.222182332,1.478736695,-1.218945158
MANTRA,0.85,0.18,0.67,1.94,-0.07,2.3,NA,NA,NA,NA,2.3,NA,3.706,0.059,0.353,2.059,0.059,0.882,0.053,0.474,1.737,2.632,0.158,3.706,2.632,3.706,3.923,2.867,4.378,NA,NA,NA,-2.20076407,NA,NA,NA,NA,NA,NA,NA,NA
MANURE,0.83,0.17,0.67,1.93,0,5.5,NA,5.15,NA,5.871,5.5,5.34,0.294,0.118,1.294,0.294,3.588,2.882,1.524,1.571,2.762,1.19,0.619,3.588,2.762,3.588,4.167,3.121,4.684,NA,1.141193786,NA,0.99923593,1.012183359,0.542696059,-0.33014905,0.232918641,-0.138384911,1.42836816,0.445970234,-0.717369252
MANY,0.57,0.08,0.48,1.55,0.61,3.9,NA,NA,NA,4.606,3.9,3.93,2.19,0.286,2.048,0.333,0.333,3.619,0.286,1.476,2.857,0.81,0.429,3.619,2.857,3.619,4.053,3.006,4.543,NA,NA,NA,-0.60076407,-0.252816641,-0.867303941,2.193882064,-0.539020982,-0.86134358,-0.451851717,0.406865823,-0.03845417
MAPLE,0.85,0.15,0.7,2.07,0,5.9,NA,NA,NA,NA,5.9,5.11,0.6,2.45,1.15,0.15,2.35,3,0.368,1.474,2,3.421,0.211,3,3.421,3.421,3.835,3.716,4.758,NA,NA,NA,1.39923593,NA,0.312696059,0.103701229,-0.266623259,-1.154978273,2.892098321,0.347811381,-0.384299432
MARBLE,0.78,0.13,0.65,1.89,0.16,6.8,NA,NA,NA,NA,6.8,6.05,0.9,0.05,3.25,0.2,0.05,4.55,0.75,2.6,2.05,0.25,0.45,4.55,2.6,4.55,5.056,2.99,5.383,NA,NA,NA,2.29923593,NA,1.252696059,0.228785995,-0.144010922,0.163216412,-0.522894653,2.071074986,-0.68900804
MARGIN,0.68,0.23,0.45,1.2,0.13,4.5,NA,NA,NA,NA,4.5,4.94,0.857,0.257,0.743,0.343,0.229,3.114,0.6,1.15,2.35,0.8,0.35,3.114,2.35,3.114,3.152,2.481,3.598,NA,NA,NA,-0.00076407,NA,0.142696059,-0.017720452,0.089653014,-0.888645352,-0.485278489,0.25647085,-0.569995062
MARKET,0.57,0.18,0.38,1.07,0.37,6.3,NA,NA,NA,6.182,6.3,5.83,2.381,0.571,1.238,0.524,1.81,4.381,1.333,1.905,2.143,1.19,0.857,4.381,2.143,4.381,4.729,2.778,5.029,NA,NA,NA,1.79923593,1.323183359,1.032696059,1.036940225,-0.145629791,-0.218663806,0.485567273,1.111567095,0.160557989
MAROON,0.77,0.23,0.53,1.46,0,6.4,5.06,NA,NA,NA,6.4,5.03,0.471,0,0.471,0.824,0,3.765,0.722,0.833,2.667,0.778,0.778,3.765,2.667,3.765,3.783,2.753,4.217,0.677889437,NA,NA,1.89923593,NA,0.232696059,-0.475426837,-0.102694654,-0.374129717,-0.660102735,0.502673352,-0.071023127
